Time,0,1,2,3,4,5,6,7
-0.000000250,1,1,1,1,1,1,1,1
0.000000000,1,1,1,1,1,1,1,1
0.000000250,1,1,1,1,1,1,1,1
0.000000500,1,1,1,1,1,1,1,1
0.000000750,1,1,1,1,1,1,1,1
0.000001000,1,1,1,1,1,1,1,1
0.000001250,1,1,1,1,1,1,1,1
0.000001500,1,1,1,1,1,1,1,1
0.000001750,1,1,1,1,1,1,1,1
0.000002000,1,1,1,1,1,1,1,1
0.000002250,1,1,1,1,1,1,1,1
0.000002500,1,1,1,1,1,1,1,1
0.000002750,1,1,1,1,1,1,1,1
0.000003000,1,1,1,1,1,1,1,1
0.000003250,1,1,1,1,1,1,1,1
0.000003500,1,1,1,1,1,1,1,1
0.000003750,1,1,1,1,1,1,1,1
0.000004000,1,1,1,1,1,1,1,1
0.000004250,1,1,1,1,1,1,1,1
0.000004500,1,1,1,1,1,1,1,1
0.000004750,1,1,1,1,1,1,1,1
0.000005000,1,1,1,1,1,1,1,1
0.000005250,1,1,1,1,1,1,1,1
0.000005500,1,1,1,1,1,1,1,1
0.000005750,1,1,1,1,1,1,1,1
0.000006000,1,1,1,1,1,1,1,1
0.000006250,1,1,1,1,1,1,1,1
0.000006500,1,1,1,1,1,1,1,1
0.000006750,1,1,1,1,1,1,1,1
0.000007000,1,1,1,1,1,1,1,1
0.000007250,1,1,1,1,1,1,1,1
0.000007500,1,1,1,1,1,1,1,1
0.000007750,1,1,1,1,1,1,1,1
0.000008000,1,1,1,1,1,1,1,1
0.000008250,1,1,1,1,1,1,1,1
0.000008500,1,1,1,1,1,1,1,1
0.000008750,1,1,1,1,1,1,1,1
0.000009000,1,1,1,1,1,1,1,1
0.000009250,1,1,1,1,1,1,1,1
0.000009500,1,1,1,1,1,1,1,1
0.000009750,1,1,1,1,1,1,1,1
0.000010000,1,1,1,1,1,1,1,1
0.000010250,1,1,1,1,1,1,1,1
0.000010500,1,1,1,1,1,1,1,1
0.000010750,1,1,1,1,1,1,1,1
0.000011000,1,1,1,1,1,1,1,1
0.000011250,1,1,1,1,1,1,1,1
0.000011500,1,1,1,1,1,1,1,1
0.000011750,1,1,1,1,1,1,1,1
0.000012000,1,1,1,1,1,1,1,1
0.000012250,1,1,1,1,1,1,1,1
0.000012500,1,1,1,1,1,1,1,1
0.000012750,1,1,1,1,1,1,1,1
0.000013000,1,1,1,1,1,1,1,1
0.000013250,1,1,1,1,1,1,1,1
0.000013500,1,1,1,1,1,1,1,1
0.000013750,1,1,1,1,1,1,1,1
0.000014000,1,1,1,1,1,1,1,1
0.000014250,1,1,1,1,1,1,1,1
0.000014500,1,1,1,1,1,1,1,1
0.000014750,1,1,1,1,1,1,1,1
0.000015000,1,1,1,1,1,1,1,1
0.000015250,1,1,1,1,1,1,1,1
0.000015500,1,1,1,1,1,1,1,1
0.000015750,1,1,1,1,1,1,1,1
0.000016000,1,1,1,1,1,1,1,1
0.000016250,1,1,1,1,1,1,1,1
0.000016500,1,1,1,1,1,1,1,1
0.000016750,1,1,1,1,1,1,1,1
0.000017000,1,1,1,1,1,1,1,1
0.000017250,1,1,1,1,1,1,1,1
0.000017500,1,1,1,1,1,1,1,1
0.000017750,1,1,1,1,1,1,1,1
0.000018000,1,1,1,1,1,1,1,1
0.000018250,1,1,1,1,1,1,1,1
0.000018500,1,1,1,1,1,1,1,1
0.000018750,1,1,1,1,1,1,1,1
0.000019000,1,1,1,1,1,1,1,1
0.000019250,1,1,1,1,1,1,1,1
0.000019500,1,1,1,1,1,1,1,1
0.000019750,1,1,1,1,1,1,1,1
0.000020000,1,1,1,1,1,1,1,1
0.000020250,1,1,1,1,1,1,1,1
0.000020500,1,1,1,1,1,1,1,1
0.000020750,1,1,1,1,1,1,1,1
0.000021000,1,1,1,1,1,1,1,1
0.000021250,1,1,1,1,1,1,1,1
0.000021500,1,1,1,1,1,1,1,1
0.000021750,1,1,1,1,1,1,1,1
0.000022000,1,1,1,1,1,1,1,1
0.000022250,1,1,1,1,1,1,1,1
0.000022500,1,1,1,1,1,1,1,1
0.000022750,1,1,1,1,1,1,1,1
0.000023000,1,1,1,1,1,1,1,1
