Times;CH1 CH 1;CH2 CH 2;CH3 CH 3;CH4 CH 4
4.765 600 ms;1;0;0;1
4.766 200 ms;1;1;0;1
4.766 600 ms;1;0;0;1
4.767 200 ms;1;1;0;1
4.767 600 ms;1;0;0;1
4.768 200 ms;1;1;0;1
4.768 600 ms;1;0;0;1
4.769 200 ms;1;1;0;1
4.769 600 ms;1;0;0;1
4.770 200 ms;1;1;0;1
4.770 600 ms;1;0;0;1
4.771 200 ms;1;1;0;1
4.771 600 ms;1;0;0;1
4.772 200 ms;1;1;0;1
4.775 200 ms;1;0;0;1
4.775 800 ms;1;1;0;1
4.776 200 ms;1;0;0;1
4.776 800 ms;1;1;0;1
4.777 200 ms;1;0;0;1
4.777 800 ms;1;1;0;1
4.778 200 ms;1;0;0;1
4.778 800 ms;1;1;0;1
4.779 200 ms;1;0;0;1
4.779 800 ms;1;1;0;1
4.780 200 ms;1;0;0;1
4.780 800 ms;1;1;0;1
4.781 200 ms;1;0;0;1
4.781 800 ms;1;1;0;1
4.782 200 ms;1;0;0;1
4.782 800 ms;1;1;0;1
4.785 800 ms;1;0;0;1
4.786 200 ms;1;1;0;1
4.786 800 ms;1;0;0;1
4.787 200 ms;1;1;0;1
4.787 800 ms;1;0;0;1
4.788 200 ms;1;1;0;1
4.788 800 ms;1;0;0;1
4.789 200 ms;1;1;0;1
4.789 800 ms;1;0;0;1
4.790 200 ms;1;1;0;1
4.790 800 ms;1;0;0;1
4.791 200 ms;1;1;0;1
4.791 800 ms;1;0;0;1
4.792 200 ms;1;1;0;1
4.792 800 ms;1;0;0;1
4.793 200 ms;1;1;0;1
4.796 200 ms;1;0;0;1
4.796 800 ms;1;1;0;1
4.797 200 ms;1;0;0;1
4.797 800 ms;1;1;0;1
4.798 200 ms;1;0;0;1
4.798 800 ms;1;1;0;1
4.799 200 ms;1;0;0;1
4.799 800 ms;1;1;0;1
4.800 200 ms;1;0;0;1
4.800 800 ms;1;1;0;1
4.801 200 ms;1;0;0;1
4.801 800 ms;1;1;0;1
4.802 200 ms;1;0;0;1
4.802 800 ms;1;1;0;1
4.803 200 ms;1;0;0;1
4.803 800 ms;1;1;0;1
4.806 800 ms;1;0;0;1
4.807 400 ms;1;1;0;1
4.807 800 ms;1;0;0;1
4.808 400 ms;1;1;0;1
4.808 800 ms;1;0;0;1
4.809 400 ms;1;1;0;1
4.809 800 ms;1;0;0;1
4.810 400 ms;1;1;0;1
4.810 800 ms;1;0;0;1
4.811 400 ms;1;1;0;1
4.811 800 ms;1;0;0;1
4.812 400 ms;1;1;0;1
4.812 800 ms;1;0;0;1
4.813 400 ms;1;1;0;1
4.813 800 ms;1;0;0;1
4.814 400 ms;1;1;0;1
4.817 400 ms;1;0;0;1
4.817 800 ms;1;1;0;1
4.818 400 ms;1;0;0;1
4.818 800 ms;1;1;0;1
4.819 400 ms;1;0;0;1
4.819 800 ms;1;1;0;1
4.820 400 ms;1;0;0;1
4.820 800 ms;1;1;0;1
4.821 400 ms;1;0;0;1
4.821 800 ms;1;1;0;1
4.822 400 ms;1;0;0;1
4.822 800 ms;1;1;0;1
4.823 400 ms;1;0;0;1
4.823 800 ms;1;1;0;1
4.824 400 ms;1;0;0;1
4.824 800 ms;1;1;0;1
4.828 000 ms;1;0;0;1
4.828 400 ms;1;1;0;1
4.829 000 ms;1;0;0;1
4.829 400 ms;1;1;0;1
4.830 000 ms;1;0;0;1
4.830 400 ms;1;1;0;1
4.831 000 ms;1;0;0;1
4.831 400 ms;1;1;0;1
4.832 000 ms;1;0;0;1
4.832 400 ms;1;1;0;1
4.833 000 ms;1;0;0;1
4.833 400 ms;1;1;0;1
4.834 000 ms;1;0;0;1
4.834 400 ms;1;1;0;1
4.835 000 ms;1;0;0;1
4.835 400 ms;1;1;0;1
4.838 400 ms;1;0;0;1
4.839 000 ms;1;1;0;1
4.839 400 ms;1;0;0;1
4.840 000 ms;1;1;0;1
4.840 400 ms;1;0;0;1
4.841 000 ms;1;1;0;1
4.841 400 ms;1;0;0;1
4.842 000 ms;1;1;0;1
4.842 400 ms;1;0;0;1
4.843 000 ms;1;1;0;1
4.843 400 ms;1;0;0;1
4.844 000 ms;1;1;0;1
4.844 400 ms;1;0;0;1
4.845 000 ms;1;1;0;1
4.845 400 ms;1;0;0;1
4.846 000 ms;1;1;0;1
4.849 000 ms;1;0;0;1
4.849 400 ms;1;1;0;1
4.850 000 ms;1;0;0;1
4.850 400 ms;1;1;0;1
4.851 000 ms;1;0;0;1
4.851 400 ms;1;1;0;1
4.852 000 ms;1;0;0;1
4.852 400 ms;1;1;0;1
4.853 000 ms;1;0;0;1
4.853 400 ms;1;1;0;1
4.854 000 ms;1;0;0;1
4.854 400 ms;1;1;0;1
4.855 000 ms;1;0;0;1
4.855 400 ms;1;1;0;1
4.856 000 ms;1;0;0;1
4.856 400 ms;1;1;0;1
4.858 800 ms;1;1;1;1
24.866 800 ms;1;1;0;1
24.867 800 ms;0;0;0;1
24.868 400 ms;0;1;0;1
24.868 800 ms;0;0;0;1
24.869 400 ms;0;1;0;1
24.869 800 ms;0;0;0;1
24.870 400 ms;0;1;0;1
24.870 800 ms;0;0;0;1
24.871 400 ms;0;1;0;1
24.871 800 ms;0;0;0;1
24.872 400 ms;0;1;0;1
24.872 800 ms;0;0;0;1
24.873 400 ms;0;1;0;1
24.873 800 ms;1;0;0;1
24.874 400 ms;1;1;0;1
24.874 800 ms;1;0;0;1
24.875 400 ms;1;1;0;1
24.878 400 ms;0;0;0;1
24.878 800 ms;0;1;0;1
24.879 400 ms;0;0;0;1
24.879 800 ms;0;1;0;1
24.880 400 ms;0;0;0;1
24.880 800 ms;0;1;0;1
24.881 400 ms;0;0;0;1
24.881 800 ms;0;1;0;1
24.882 400 ms;0;0;0;1
24.882 800 ms;0;1;0;1
24.883 400 ms;0;0;0;1
24.883 800 ms;0;1;0;1
24.884 400 ms;0;0;0;1
24.884 800 ms;0;1;0;1
24.885 400 ms;0;0;0;1
24.885 800 ms;0;1;0;1
24.886 800 ms;1;1;0;1
24.888 000 ms;0;1;0;1
24.889 000 ms;0;0;0;1
24.889 400 ms;0;1;0;1
24.890 000 ms;0;0;0;1
24.890 400 ms;0;1;0;1
24.891 000 ms;0;0;0;1
24.891 400 ms;0;1;0;1
24.892 000 ms;0;0;0;1
24.892 400 ms;0;1;0;1
24.893 000 ms;0;0;0;1
24.893 400 ms;0;1;0;1
24.894 000 ms;0;0;0;1
24.894 400 ms;0;1;0;1
24.895 000 ms;0;0;0;1
24.895 400 ms;0;1;0;1
24.896 000 ms;0;0;0;1
24.896 400 ms;0;1;0;1
24.897 400 ms;1;1;0;1
24.898 400 ms;0;1;0;1
24.899 400 ms;0;0;0;1
24.900 000 ms;0;1;0;1
24.900 400 ms;0;0;0;1
24.901 000 ms;0;1;0;1
24.901 400 ms;0;0;0;1
24.902 000 ms;0;1;0;1
24.902 400 ms;0;0;0;1
24.903 000 ms;0;1;0;1
24.903 400 ms;0;0;0;1
24.904 000 ms;0;1;0;1
24.904 400 ms;0;0;0;1
24.905 000 ms;0;1;0;1
24.905 400 ms;0;0;0;1
24.906 000 ms;0;1;0;1
24.906 400 ms;0;0;0;1
24.907 000 ms;0;1;0;1
24.908 000 ms;1;1;0;1
24.909 000 ms;0;1;0;1
24.910 000 ms;1;0;0;1
24.910 600 ms;1;1;0;1
24.911 000 ms;1;0;0;1
24.911 600 ms;1;1;0;1
24.912 000 ms;1;0;0;1
24.912 600 ms;1;1;0;1
24.913 000 ms;1;0;0;1
24.913 600 ms;1;1;0;1
24.914 000 ms;1;0;0;1
24.914 600 ms;1;1;0;1
24.915 000 ms;1;0;0;1
24.915 600 ms;1;1;0;1
24.916 000 ms;1;0;0;1
24.916 600 ms;1;1;0;1
24.917 000 ms;1;0;0;1
24.917 600 ms;1;1;0;1
24.920 600 ms;1;0;0;1
24.921 000 ms;1;1;0;1
24.921 600 ms;1;0;0;1
24.922 000 ms;1;1;0;1
24.922 600 ms;1;0;0;1
24.923 000 ms;1;1;0;1
24.923 600 ms;1;0;0;1
24.924 000 ms;1;1;0;1
24.924 600 ms;1;0;0;1
24.925 000 ms;1;1;0;1
24.925 600 ms;1;0;0;1
24.926 000 ms;1;1;0;1
24.926 600 ms;1;0;0;1
24.927 000 ms;1;1;0;1
24.927 600 ms;1;0;0;1
24.928 000 ms;1;1;0;1
24.931 000 ms;1;0;0;1
24.931 600 ms;1;1;0;1
24.932 000 ms;1;0;0;1
24.932 600 ms;1;1;0;1
24.933 000 ms;1;0;0;1
24.933 600 ms;1;1;0;1
24.934 000 ms;1;0;0;1
24.934 600 ms;1;1;0;1
24.935 000 ms;1;0;0;1
24.935 600 ms;1;1;0;1
24.936 000 ms;1;0;0;1
24.936 600 ms;1;1;0;1
24.937 000 ms;1;0;0;1
24.937 600 ms;1;1;0;1
24.938 000 ms;1;0;0;1
24.938 600 ms;1;1;0;1
24.941 600 ms;1;0;0;1
24.942 200 ms;1;1;0;1
24.942 600 ms;1;0;0;1
24.943 200 ms;1;1;0;1
24.943 600 ms;1;0;0;1
24.944 200 ms;1;1;0;1
24.944 600 ms;1;0;0;1
24.945 200 ms;1;1;0;1
24.945 600 ms;1;0;0;1
24.946 200 ms;1;1;0;1
24.946 600 ms;1;0;0;1
24.947 200 ms;1;1;0;1
24.947 600 ms;1;0;0;1
24.948 200 ms;1;1;0;1
24.948 600 ms;1;0;0;1
24.949 200 ms;1;1;0;1
24.952 200 ms;1;0;0;1
24.952 600 ms;1;1;0;1
24.953 200 ms;1;0;0;1
24.953 600 ms;1;1;0;1
24.954 200 ms;1;0;0;1
24.954 600 ms;1;1;0;1
24.955 200 ms;1;0;0;1
24.955 600 ms;1;1;0;1
24.956 200 ms;1;0;0;1
24.956 600 ms;1;1;0;1
24.957 200 ms;1;0;0;1
24.957 600 ms;1;1;0;1
24.958 200 ms;1;0;0;1
24.958 600 ms;1;1;0;1
24.959 200 ms;1;0;0;1
24.959 600 ms;1;1;0;1
24.962 800 ms;1;0;0;1
24.963 200 ms;1;1;0;1
24.963 800 ms;1;0;0;1
24.964 200 ms;1;1;0;1
24.964 800 ms;1;0;0;1
24.965 200 ms;1;1;0;1
24.965 800 ms;1;0;0;1
24.966 200 ms;1;1;0;1
24.966 800 ms;1;0;0;1
24.967 200 ms;1;1;0;1
24.967 800 ms;1;0;0;1
24.968 200 ms;1;1;0;1
24.968 800 ms;1;0;0;1
24.969 200 ms;1;1;0;1
24.969 800 ms;1;0;0;1
24.970 200 ms;1;1;0;1
24.973 200 ms;1;0;0;1
24.973 800 ms;1;1;0;1
24.974 200 ms;1;0;0;1
24.974 800 ms;1;1;0;1
24.975 200 ms;1;0;0;1
24.975 800 ms;1;1;0;1
24.976 200 ms;1;0;0;1
24.976 800 ms;1;1;0;1
24.977 200 ms;1;0;0;1
24.977 800 ms;1;1;0;1
24.978 200 ms;1;0;0;1
24.978 800 ms;1;1;0;1
24.979 200 ms;1;0;0;1
24.979 800 ms;1;1;0;1
24.980 200 ms;1;0;0;1
24.980 800 ms;1;1;0;1
24.983 800 ms;1;0;0;1
24.984 400 ms;1;1;0;1
24.984 800 ms;1;0;0;1
24.985 400 ms;1;1;0;1
24.985 800 ms;1;0;0;1
24.986 400 ms;1;1;0;1
24.986 800 ms;1;0;0;1
24.987 400 ms;1;1;0;1
24.987 800 ms;1;0;0;1
24.988 400 ms;1;1;0;1
24.988 800 ms;1;0;0;1
24.989 400 ms;1;1;0;1
24.989 800 ms;1;0;0;1
24.990 400 ms;1;1;0;1
24.990 800 ms;1;0;0;1
24.991 400 ms;1;1;0;1
24.994 400 ms;1;0;0;1
24.994 800 ms;1;1;0;1
24.995 400 ms;1;0;0;1
24.995 800 ms;1;1;0;1
24.996 400 ms;1;0;0;1
24.996 800 ms;1;1;0;1
24.997 400 ms;1;0;0;1
24.997 800 ms;1;1;0;1
24.998 400 ms;1;0;0;1
24.998 800 ms;1;1;0;1
24.999 400 ms;1;0;0;1
24.999 800 ms;1;1;0;1
25.000 400 ms;1;0;0;1
25.000 800 ms;1;1;0;1
25.001 400 ms;1;0;0;1
25.001 800 ms;1;1;0;1
25.004 800 ms;1;0;0;1
25.005 400 ms;1;1;0;1
25.005 800 ms;1;0;0;1
25.006 400 ms;1;1;0;1
25.006 800 ms;1;0;0;1
25.007 400 ms;1;1;0;1
25.007 800 ms;1;0;0;1
25.008 400 ms;1;1;0;1
25.008 800 ms;1;0;0;1
25.009 400 ms;1;1;0;1
25.009 800 ms;1;0;0;1
25.010 400 ms;1;1;0;1
25.010 800 ms;1;0;0;1
25.011 400 ms;1;1;0;1
25.011 800 ms;1;0;0;1
25.012 400 ms;1;1;0;1
25.015 400 ms;1;0;0;1
25.016 000 ms;1;1;0;1
25.016 400 ms;1;0;0;1
25.017 000 ms;1;1;0;1
