Times;CH1 CH 1;CH2 CH 2;CH3 CH 3;CH4 CH 4
45.184 401 ms;1;0;0;1
45.185 001 ms;1;1;0;1
45.185 401 ms;1;0;0;1
45.186 001 ms;1;1;0;1
45.186 401 ms;1;0;0;1
45.187 001 ms;1;1;0;1
45.187 401 ms;1;0;0;1
45.188 001 ms;1;1;0;1
45.188 401 ms;1;0;0;1
45.189 001 ms;1;1;0;1
45.189 401 ms;1;0;0;1
45.190 001 ms;1;1;0;1
45.193 001 ms;1;0;0;1
45.193 401 ms;1;1;0;1
45.194 001 ms;1;0;0;1
45.194 401 ms;1;1;0;1
45.195 001 ms;1;0;0;1
45.195 401 ms;1;1;0;1
45.196 001 ms;1;0;0;1
45.196 401 ms;1;1;0;1
45.197 001 ms;1;0;0;1
45.197 401 ms;1;1;0;1
45.198 001 ms;1;0;0;1
45.198 401 ms;1;1;0;1
45.199 001 ms;1;0;0;1
45.199 401 ms;1;1;0;1
45.200 001 ms;1;0;0;1
45.200 401 ms;1;1;0;1
45.203 601 ms;1;0;0;1
45.204 001 ms;1;1;0;1
45.204 601 ms;1;0;0;1
45.205 001 ms;1;1;0;1
45.205 601 ms;1;0;0;1
45.206 001 ms;1;1;0;1
45.206 601 ms;1;0;0;1
45.207 001 ms;1;1;0;1
45.207 601 ms;1;0;0;1
45.208 001 ms;1;1;0;1
45.208 601 ms;1;0;0;1
45.209 001 ms;1;1;0;1
45.209 601 ms;1;0;0;1
45.210 001 ms;1;1;0;1
45.210 601 ms;1;0;0;1
45.211 001 ms;1;1;0;1
45.214 001 ms;1;0;0;1
45.214 601 ms;1;1;0;1
45.215 001 ms;1;0;0;1
45.215 601 ms;1;1;0;1
45.216 001 ms;1;0;0;1
45.216 601 ms;1;1;0;1
45.217 001 ms;1;0;0;1
45.217 601 ms;1;1;0;1
45.218 001 ms;1;0;0;1
45.218 601 ms;1;1;0;1
45.219 001 ms;1;0;0;1
45.219 601 ms;1;1;0;1
45.220 001 ms;1;0;0;1
45.220 601 ms;1;1;0;1
45.221 001 ms;1;0;0;1
45.221 601 ms;1;1;0;1
45.224 601 ms;1;0;0;1
45.225 001 ms;1;1;0;1
45.225 601 ms;1;0;0;1
45.226 001 ms;1;1;0;1
45.226 601 ms;1;0;0;1
45.227 001 ms;1;1;0;1
45.227 601 ms;1;0;0;1
45.228 001 ms;1;1;0;1
45.228 601 ms;1;0;0;1
45.229 001 ms;1;1;0;1
45.229 601 ms;1;0;0;1
45.230 001 ms;1;1;0;1
45.230 601 ms;1;0;0;1
45.231 001 ms;1;1;0;1
45.231 601 ms;1;0;0;1
45.232 001 ms;1;1;0;1
45.235 201 ms;1;0;0;1
45.235 601 ms;1;1;0;1
45.236 201 ms;1;0;0;1
45.236 601 ms;1;1;0;1
45.237 201 ms;1;0;0;1
45.237 601 ms;1;1;0;1
45.238 201 ms;1;0;0;1
45.238 601 ms;1;1;0;1
45.239 201 ms;1;0;0;1
45.239 601 ms;1;1;0;1
45.240 201 ms;1;0;0;1
45.240 601 ms;1;1;0;1
45.241 201 ms;1;0;0;1
45.241 601 ms;1;1;0;1
45.242 201 ms;1;0;0;1
45.242 601 ms;1;1;0;1
45.245 601 ms;1;0;0;1
45.246 201 ms;1;1;0;1
45.246 601 ms;1;0;0;1
45.247 201 ms;1;1;0;1
45.247 601 ms;1;0;0;1
45.248 201 ms;1;1;0;1
45.248 601 ms;1;0;0;1
45.249 201 ms;1;1;0;1
45.249 601 ms;1;0;0;1
45.250 201 ms;1;1;0;1
45.250 601 ms;1;0;0;1
45.251 201 ms;1;1;0;1
45.251 601 ms;1;0;0;1
45.252 201 ms;1;1;0;1
45.252 601 ms;1;0;0;1
45.253 201 ms;1;1;0;1
45.256 201 ms;1;0;0;1
45.256 801 ms;1;1;0;1
45.257 201 ms;1;0;0;1
45.257 801 ms;1;1;0;1
45.258 201 ms;1;0;0;1
45.258 801 ms;1;1;0;1
45.259 201 ms;1;0;0;1
45.259 801 ms;1;1;0;1
45.260 201 ms;1;0;0;1
45.260 801 ms;1;1;0;1
45.261 201 ms;1;0;0;1
45.261 801 ms;1;1;0;1
45.262 201 ms;1;0;0;1
45.262 801 ms;1;1;0;1
45.263 201 ms;1;0;0;1
45.263 801 ms;1;1;0;1
45.266 801 ms;1;0;0;1
45.267 201 ms;1;1;0;1
45.267 801 ms;1;0;0;1
45.268 201 ms;1;1;0;1
45.268 801 ms;1;0;0;1
45.269 201 ms;1;1;0;1
45.269 801 ms;1;0;0;1
45.270 201 ms;1;1;0;1
45.270 801 ms;1;0;0;1
45.271 201 ms;1;1;0;1
45.271 801 ms;1;0;0;1
45.272 201 ms;1;1;0;1
45.272 801 ms;1;0;0;1
45.273 201 ms;1;1;0;1
45.273 801 ms;1;0;0;1
45.274 201 ms;1;1;0;1
45.277 201 ms;1;0;0;1
45.277 801 ms;1;1;0;1
45.278 201 ms;1;0;0;1
45.278 801 ms;1;1;0;1
45.279 201 ms;1;0;0;1
45.279 801 ms;1;1;0;1
45.280 201 ms;1;0;0;1
45.280 801 ms;1;1;0;1
45.281 201 ms;1;0;0;1
45.281 801 ms;1;1;0;1
45.282 201 ms;1;0;0;1
45.282 801 ms;1;1;0;1
45.283 201 ms;1;0;0;1
45.283 801 ms;1;1;0;1
45.284 201 ms;1;0;0;1
45.284 801 ms;1;1;0;1
45.287 801 ms;1;0;0;1
45.288 401 ms;1;1;0;1
45.288 801 ms;1;0;0;1
45.289 401 ms;1;1;0;1
45.289 801 ms;1;0;0;1
45.290 401 ms;1;1;0;1
45.290 801 ms;1;0;0;1
45.291 401 ms;1;1;0;1
45.291 801 ms;1;0;0;1
45.292 401 ms;1;1;0;1
45.292 801 ms;1;0;0;1
45.293 401 ms;1;1;0;1
45.293 801 ms;1;0;0;1
45.294 401 ms;1;1;0;1
45.294 801 ms;1;0;0;1
45.295 401 ms;1;1;0;1
45.297 601 ms;1;1;1;1
52.377 601 ms;1;1;1;1
