Times;CH1 MOSI;CH2 CLK;CH3 CS#;CH4 MISO
4.977 480 ms;1;0;0;1
4.977 980 ms;1;1;0;1
4.978 480 ms;1;0;0;1
4.978 980 ms;1;1;0;1
4.979 480 ms;1;0;0;1
4.979 980 ms;1;1;0;1
4.980 480 ms;1;0;0;1
4.980 980 ms;1;1;0;1
4.981 480 ms;1;0;0;1
4.981 980 ms;1;1;0;1
4.982 480 ms;1;0;0;1
4.982 980 ms;1;1;0;1
4.983 480 ms;1;0;0;1
4.983 980 ms;1;1;0;1
4.984 480 ms;1;0;0;1
4.984 980 ms;1;1;0;1
4.988 020 ms;1;0;0;1
4.988 520 ms;1;1;0;1
4.989 020 ms;1;0;0;1
4.989 520 ms;1;1;0;1
4.990 020 ms;1;0;0;1
4.990 520 ms;1;1;0;1
4.991 020 ms;1;0;0;1
4.991 520 ms;1;1;0;1
4.992 020 ms;1;0;0;1
4.992 520 ms;1;1;0;1
4.993 020 ms;1;0;0;1
4.993 520 ms;1;1;0;1
4.994 020 ms;1;0;0;1
4.994 520 ms;1;1;0;1
4.995 020 ms;1;0;0;1
4.995 520 ms;1;1;0;1
4.998 560 ms;1;0;0;1
4.999 060 ms;1;1;0;1
4.999 560 ms;1;0;0;1
5.000 060 ms;1;1;0;1
5.000 560 ms;1;0;0;1
5.001 060 ms;1;1;0;1
5.001 560 ms;1;0;0;1
5.002 060 ms;1;1;0;1
5.002 560 ms;1;0;0;1
5.003 060 ms;1;1;0;1
5.003 560 ms;1;0;0;1
5.004 060 ms;1;1;0;1
5.004 560 ms;1;0;0;1
5.005 060 ms;1;1;0;1
5.005 560 ms;1;0;0;1
5.006 060 ms;1;1;0;1
5.009 110 ms;1;0;0;1
5.009 600 ms;1;1;0;1
5.010 110 ms;1;0;0;1
5.010 600 ms;1;1;0;1
5.011 110 ms;1;0;0;1
5.011 600 ms;1;1;0;1
5.012 110 ms;1;0;0;1
5.012 600 ms;1;1;0;1
5.013 110 ms;1;0;0;1
5.013 600 ms;1;1;0;1
5.014 110 ms;1;0;0;1
5.014 600 ms;1;1;0;1
5.015 110 ms;1;0;0;1
5.015 600 ms;1;1;0;1
5.016 110 ms;1;0;0;1
5.016 600 ms;1;1;0;1
5.019 650 ms;1;0;0;1
5.020 140 ms;1;1;0;1
5.020 650 ms;1;0;0;1
5.021 140 ms;1;1;0;1
5.021 650 ms;1;0;0;1
5.022 140 ms;1;1;0;1
5.022 650 ms;1;0;0;1
5.023 140 ms;1;1;0;1
5.023 650 ms;1;0;0;1
5.024 140 ms;1;1;0;1
5.024 650 ms;1;0;0;1
5.025 140 ms;1;1;0;1
5.025 650 ms;1;0;0;1
5.026 140 ms;1;1;0;1
5.026 650 ms;1;0;0;1
5.027 140 ms;1;1;0;1
5.030 190 ms;1;0;0;1
5.030 680 ms;1;1;0;1
5.031 190 ms;1;0;0;1
5.031 690 ms;1;1;0;1
5.032 190 ms;1;0;0;1
5.032 680 ms;1;1;0;1
5.033 190 ms;1;0;0;1
5.033 680 ms;1;1;0;1
5.034 190 ms;1;0;0;1
5.034 680 ms;1;1;0;1
5.035 190 ms;1;0;0;1
5.035 680 ms;1;1;0;1
5.036 190 ms;1;0;0;1
5.036 680 ms;1;1;0;1
5.037 190 ms;1;0;0;1
5.037 680 ms;1;1;0;1
5.040 730 ms;1;0;0;1
5.041 230 ms;1;1;0;1
5.041 730 ms;1;0;0;1
5.042 230 ms;1;1;0;1
5.042 730 ms;1;0;0;1
5.043 230 ms;1;1;0;1
5.043 730 ms;1;0;0;1
5.044 230 ms;1;1;0;1
5.044 730 ms;1;0;0;1
5.045 230 ms;1;1;0;1
5.045 730 ms;1;0;0;1
5.046 230 ms;1;1;0;1
5.046 730 ms;1;0;0;1
